1분반, A, 1, 3000.0, 1000, -2000.0, -66.66666666666666%
1분반, E, 3, 3000.0, 16500, 7500.0, 83.33333333333334%
2분반, A, 5, 3000.0, 5000, -10000.0, -66.66666666666666%
3분반, B, 2, 3000.0, 200, -5800.0, -96.66666666666667%
4분반, B, 1, 3000.0, 100, -2900.0, -96.66666666666667%
5분반, D, 1, 3000.0, 300, -2700.0, -90.0%
6분반, D, 3, 3000.0, 900, -8100.0, -90.0%
7분반, B, 5, 3000.0, 500, -14500.0, -96.66666666666667%
8분반, C, 1, 3000.0, 900, -2100.0, -70.0%
9분반, B, 1, 3000.0, 100, -2900.0, -96.66666666666667%
10분반, E, 2, 3000.0, 11000, 5000.0, 83.33333333333334%
